"a aquele", "para isso"
"pedagógico", "de ou relacionado à pedagogia"
"Pedal", "uma alavanca que é operada com o pé"
"pedalar", "operar os pedais em um instrumento de teclado"
"pedante", "Marcado por um foco estreito ou exibição de aprendizado, especialmente seus aspectos triviais"
"pederasta", "Um homem que faz sexo (geralmente sodomia) com um menino como parceiro passivo"
"pederastir", "Relações sexuais entre um homem e um menino (geralmente relações anal com o garoto como parceiro passivo)"
"pederneirar", "um tipo difícil de pedra; uma forma de sílica mais opaca que a calcedônia"
"pedestal", "um suporte ou base arquitetônica (como para uma coluna ou estátua)"
"pedestre", "uma pessoa que passa casualmente ou por acaso"
"pediatra", "um especialista no cuidado dos bebês"
"pediatrio", "o ramo da medicina preocupado com o tratamento de bebês e crianças"
"pedintir", "um pobre que vive implorando"
"pedir", "a preferência particular que você tem"
"pedir", "Faça um pedido de algo"
"pedra", "um nódulo duro produzido pela concreção de sais minerais; encontrado em órgãos oco ou dutos do corpo"
"pedra", "Uma grande massa lisa de rocha destacada de seu local de origem"
"pedregulho", "Uma grande massa lisa de rocha destacada de seu local de origem"
"pedreira", "uma escavação de superfície para extrair pedra ou ardósia"
"pedreiro", "Um artesão hábil em construção com tijolos"
"pedreiro", "uma escavação de superfície para extrair pedra ou ardósia"
"pedrinha", "Uma pequena rocha arredondada suave"
"Pedro", "discípulo de Jesus e líder dos apóstolos; considerado pelos católicos como o vigário de Cristo na terra e no primeiro papa"
"Pedro", "discípulo de Jesus e líder dos apóstolos; considerado pelos católicos como o vigário de Cristo na terra e no primeiro papa"
"pedúnculo", "caule com uma inflorescência ou flor solitária"
"pegajoso", "desesperadamente legal e úmido"
"pegar", "Corvo em preto e branco de cauda longa que pronuncia uma chamada estridente"
"pegar", "o ato de pegar um objeto com as mãos"
"pegar", "o ato de pegar um objeto com as mãos"
"peidar", "expelir gases intestinais através do ânus"
"peir", "um reflexo que expulsa o gás intestinal através do ânus"
"peito", "a frente do tronco do pescoço para o abdômen"
"peito", "A parte do torso humano entre o pescoço e o diafragma ou a parte correspondente em outros vertebrados"
"peitoral", "de ou relacionado ao peito ou tórax"
"peitoril", "Membro estrutural que consiste em uma madeira horizontal contínua, formando o membro mais baixo de uma estrutura ou estrutura de suporte"
"peitudar", "(do corpo de uma mulher) tendo um grande peito e curvas agradáveis"
"peixe", "Qualquer um dos vários vertebrados aquáticos principalmente de sangue frio geralmente tendo escalas e respirando em brilho"
"peixe", "Qualquer um dos vários vertebrados aquáticos principalmente de sangue frio geralmente tendo escalas e respirando em brilho"
"peixeiro", "uma faca grande pesada usada na América Central e do Sul como arma ou para cortar vegetação"
"pejor", "um odor distinto que é ofensivamente desagradável"
"pejorativo", "expressando desaprovação"
"pelar", "Completamente despojado"
"pelar", "despoja a pele"
"pele", "cobertura corporal de um animal vivo"
"pele", "o casaco peludo vestido de um mamífero"
"pelejar", "Faça um esforço árduo ou trabalhador"
"peler", "o ato de lutar; qualquer concurso ou luta"
"pelicano", "Grandes pássaros marítimos de águas quentes de asas compridas, com uma conta grande com uma bolsa distensível para peixes"
"peliço", "um casaco feito de pêlo"
"películar", "uma forma de entretenimento que aprova uma história por som e uma sequência de imagens que dão a ilusão de movimento contínuo"
"pêlo", "crescimento de cabelos ou lã ou pêlo cobrindo o corpo de um animal"
"peloponender", "a Península do Sul da Grécia; Dominado por Esparta até o século IV aC aC"
"pelota", "uma pequena esfera"
"pelotão", "uma unidade militar que é uma subdivisão de uma empresa; Geralmente tem uma sede e dois ou mais esquadrões; geralmente comandado por um tenente"
"pelourinhar", "um instrumento de madeira de punição em um poste com orifícios para os pulsos e pescoço; Os infratores foram trancados e assim expostos ao desprezo público"
"pelúcer", "um tecido com uma soneca mais longa e mais suave que o veludo"
"peludar", "tendo ou coberto de cabelo"
"peludo", "tendo ou coberto de cabelo"
"pélvi", "A estrutura do esqueleto de vertebrado que suporta os membros inferiores em humanos e os membros posteriores ou partes correspondentes em outros vertebrados"
"pélvico", "de ou relacionado à pélvis"
'"pena", "A estrutura à prova d''água com tesão leve que formava a cobertura externa de pássaros"'
"penacho", "uma pluma de penas em um capacete"
"penal", "sujeito a punição por lei"
"penalizar", "impor uma penalidade; infligir punição"
"penca", "um pacote de várias coisas ligadas por carregar ou armazenar"
"pendão", "emblema geralmente consistindo de um pedaço de pano retangular de design distinto"
"pendência", "uma superfície inclinada conectando dois níveis"
"pendente", "aguardando conclusão ou confirmação"
"pender", "pendurar livremente ou frouxos"
"pêndulo", "um aparelho constituído por um objeto montado para que ele bala livremente sob a influência da gravidade"
"pendurar", "prenda com um gancho"
"penduricalho", "Um adorno que pendura de uma joia (colar ou brinco)"
"peneirar", "distinguir e separar"
"peneiro", "uma peneira grossa (como para cascalho)"
"penélope", "(Mitologia grega) a esposa de Odisseu e um símbolo de devoção e fidelidade; Por 10 anos, enquanto Odisseu lutou contra a guerra de Troia, ela resistiu a inúmeros pretendentes até que Odisseu retornou e os matou"
"penetração", "percepção clara ou profunda de uma situação"
"penetrante", "ter ou demonstrar capacidade de reconhecer ou desenhar distinções finas"
"penetrar", "venha entender"
"penhasco", "um nódulo ou massa de matéria mineral consolidada dura"
"penhasco", "uma face alta íngreme de rocha"
"penhor", "um artigo depositado como segurança"
"penhora", "um depósito de propriedade pessoal como segurança para uma dívida"
"penhorar", "prometa solene e formalmente"
"penicilino", "Qualquer um dos vários antibióticos obtidos de moldes de Penicillium (ou produzidos sinteticamente) e usado no tratamento de várias infecções e doenças"
"penínsular", "uma grande massa de terra projetando-se em um corpo de água"
'"pênis", "O órgão masculino da cópula (`membro ''é um eufemismo)"'
"penitência", "um sacramento católico; arrependimento e confissão e expiação e absolvição"
"penitenciár", "uma instituição correcional para os condenados por grandes crimes"
"penitenciário", "usado para punição ou reforma de criminosos ou transgressores"
"penitente", "sentindo ou expressando remorso por crimes"
"penoso", "caracterizado pelo esforço ao ponto de exaustão; especialmente esforço físico"
"pensamento", "o processo de usar sua mente para considerar algo cuidadosamente"
"pensão", "Uma casa particular que fornece acomodações e refeições para pagar convidados"
"pensar", "Lembre-se de atenção ou consideração"
"pensar", "um pedaço de material macio que cobre e protege uma parte ferida do corpo"
"pensativo", "mostrando tristeza pensativa"
"pensionistar", "o beneficiário de um fundo de pensão"
"pentagonal", "de ou relacionado ou moldado como um Pentágono"
"pentágono", "um polígono de cinco lados"
"pentagramar", "uma estrela com 5 pontos; formado por 5 linhas retas entre os vértices de um Pentágono e encerrando outro Pentágono"
"pentateuco", "(Judaísmo) O pergaminho do pergaminho no qual os cinco primeiros livros da Escritura Hebraica são escritos; é usado em uma sinagoga durante os serviços"
"pente", "munição que consiste em um invólucro cilíndrico contendo uma carga explosiva e uma bala; disparado de um rifle ou arma"
"pentear", "o arranjo do cabelo (especialmente o cabelo de uma mulher)"
"pentear", "suavize e arrumado com ou como com um pente"
"pentecoste", "Sétimo domingo após a Páscoa; comemora a emanação do Espírito Santo aos apóstolos; Um quarto de dia na Escócia"
"pentelho", "gíria vulgar para ânus"
"penugem", "um colchão recheado com penas"
"penúltimo", "usado no terceiro ou próximo ao último ano na escola ou na faculdade dos Estados Unidos"
"penumbrar", "uma região de sombra completa resultante da obstrução total da luz"
"penúrio", "uma insuficiência aguda"
"pepino", "Frutas verdes cilíndricas com casca verde fina e carne branca consumida como vegetal; relacionado a melões"
"pepito", "um pedaço sólido de um metal precioso (especialmente ouro), como encontrado na terra"
"pequeno", "feito para parecer menor ou menos (especialmente no valor)"
"pequeno", "limitado ou abaixo da média em número ou quantidade ou magnitude ou extensão"
"pequeno", "menor em tamanho ou quantidade ou valor"
"pequeno", "o menos possível"
"pequeno", "uma nota musical com o valor de tempo de meia nota"
"Pequim", "capital da República Popular da China, na província de Hebei, no nordeste da China; 2ª maior cidade chinesa"
"perambular", "mova-se sem rumo ou sem nenhum destino, muitas vezes em busca de comida ou emprego"
"perca", "qualquer um dos numerosos peixes espinados de várias famílias da ordem Perciformes"
"perceber", "Crustáceos marinhos com apêndices de captura de alimentos emplumados; Nascimento livre como larvas; Como os adultos formam uma concha dura e ligados ao vivo em superfícies submersas"
"perceber", "entender"
"percentagem", "uma proporção em relação a um todo (que geralmente é a quantidade por cem)"
"percepção", "tomar conhecimento de algo através dos sentidos"
"perceptível", "de importância distinta"
"percevejo", "Bugs verdadeiros"
"percevejor", "Bug de regiões temperadas que infestam especialmente camas e se alimentam de sangue humano"
"percorrer", "caminhar ou vagabundo sobre"
"percurso", "uma linha estabelecida de viagem ou acesso"
"percussão", "o ato de explodir um boné de percussão"
"perda", "o ato de perder alguém ou algo"
"perda", "qualquer coisa perdida por desgaste ou desperdício"
"perdãar", "clemência e compaixão demonstradas para os infratores por uma pessoa ou agência encarregada de administrar justiça"
"perder", "não conseguir vencer"
"perder", "totalmente desinformado sobre o que está acontecendo; não ter nem uma pista para inferir o que está ocorrendo"
"perdição", "um evento (ou um curso de eventos) que inevitavelmente acontecerá no futuro"
"perdizr", "Pássaro de caça sul-americano de asas pequenas de corpo pesado parecido com um pássaro galináceo, mas relacionado às aves ratitas"
"perdoar", "pare de culpar ou conceder perdão"
"peregrinação", "viajando ou vagando"
"peregrinar", "viajar por aí, através ou mais, especialmente a pé"
"Peregrino", "alguém que viaja em terras estrangeiras"
"peregrino", "Um dos colonos da Inglaterra que navegou para a América no Mayflower e fundou a colônia de Plymouth na Nova Inglaterra em 1620"
